; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540697996,"CurrentTimeLocal","Sat Oct 27 20:39:56 2018","Hostname","nid01146","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 0.000147
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,7,0,"Success",0.005761,18.096669,17.763254,0.018622,0.337427,0.150352,0.02994,0.546712,36.949388,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,8,0,"Success",0.005657,17.993041,18.020025,0.019402,0.324582,0.106539,0.029764,0.561222,37.061138,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,9,0,"Success",0.005662,18.056574,17.899861,0.02005,0.339049,0.166595,0.030163,0.568119,37.086887,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,10,0,"Success",0.005673,17.994583,17.725108,0.019527,0.32866,0.105618,0.029744,0.553601,36.763287,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,11,0,"Success",0.00698,18.194634,17.859639,0.01867,0.381522,0.104272,0.029359,0.544495,37.140333,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,0,7,"Warmup",0.003663,20.449679,20.70885,0.192176,0.507948,0.3144,0.210875,0.829687,43.217861,1619352,0,1619352,5.5760491293e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,1,7,"Warmup",0.005043,21.88433,21.767651,0.108921,0.537419,0.314141,0.200758,0.852938,45.671798,1619352,0,1619352,5.5760491293e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,2,7,"Success",0.005153,20.558893,20.568769,0.108672,0.573083,0.313847,0.201876,0.856396,43.187345,1619352,0,1619352,5.5760491293e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,3,7,"Success",0.005134,20.541327,20.561955,0.109012,0.52244,0.331744,0.201291,0.832832,43.106405,1619352,0,1619352,5.5760491293e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,4,7,"Success",0.005018,20.49892,20.572678,0.108339,0.566546,0.313684,0.201232,0.826406,43.093406,1619352,0,1619352,5.5760491293e-08,0
